address,full_address,subdistrict_name,lat,lng,name
彩虹站大堂近客服中心,九龍牛池灣香港鐵路彩虹站,牛池灣,22.3341,114.2096,港鐵彩虹站-A1進出口
瑞和街9號瑞和市政大廈8樓至9樓大堂,觀塘瑞和街9號瑞和市政大廈8樓及9樓,觀塘,22.3157,114.2243,瑞和街體育館
觀塘順利安道32號順利紀律部隊宿舍平台穿梭升降機大堂,九龍觀塘利安道32號順利紀律部隊宿舍第二層平台第1號舖,順利邨,22.332,114.2217,7-11便利店-順利紀律部隊宿舍
順利消防局正門入口外,九龍觀塘利安道33號,順利邨,22.3313,114.2227,順利消防局
駿業街遊樂場場地辦事處門外,九龍觀塘月華街遊樂場,觀塘,22.3154,114.2265,月華街遊樂場
協和街130號基督教聯合醫院P座地下,九龍觀塘協和街130號基督教聯合醫院P座1樓,秀茂坪,22.3233,114.227,基督教聯合醫院(精神科)
協和街130號基督教聯合醫院S座地下,九龍觀塘協和街130號基督教聯合醫院P座1樓,秀茂坪,22.3233,114.227,基督教聯合醫院(精神科)
順利邨道33號順利邨體育館救護室外,九龍觀塘順利邨道33號順利邨體育館三樓,順利邨,22.3297,114.2254,順利邨公共圖書館
順利邨公園兒童遊樂場入口對面,九龍觀塘順利邨公園停車場,順利邨,22.3291,114.2252,順利邨公園停車場
曉光街2號曉光街體育館大堂,觀塘曉光街(曉麗苑對面),觀塘,22.3181,114.2304,曉光街休憩花園
協和街33號裕民坊高層地下禮賓處,香港九龍協和街33號凱匯裕民坊商塲地下G6號舗,,22.3141,114.2244,7-11便利店
觀塘駿業街56號中海日升中心一樓客服中心,九龍觀塘中海日升中心,,22.3112,114.2228,觀塘國語浸信會
鴻圖道52號地下禮賓部,鴻圖道   52號,,22.3103,114.2222,鴻圖道52號
海濱道181號One Harbour Square地下禮賓部,九龍觀塘海濱道83號OneBayEastCitiTower一樓E4號舖,,22.3159,114.2142,7-11便利店-海濱道83號
觀塘道418號創世紀之城五期2樓寫字樓大堂禮賓部,九龍觀塘觀塘道418號創紀之城五期APM地下G02號舖,,22.3124,114.2254,7-11便利店-創紀之城第5期
觀塘道418號創世紀之城五期大堂樓層客戶服務中心,九龍觀塘觀塘道418號創紀之城五期APM地下G02號舖,,22.3124,114.2254,7-11便利店-創紀之城第5期
開源道49號創貿廣場1樓客戶服務中心,九龍觀塘開源道49號創貿廣場2305室,,22.3101,114.2238,半讀工房
觀塘道426號觀塘消防局正門入口外,觀塘道   426號,,22.3119,114.2258,觀塘消防局
安秀街23號安泰邨服務設施大樓4樓正門入口接待處,九龍觀塘安秀道23號安泰邨服務設施大樓四樓,秀茂坪,22.3256,114.2312,保良局安泰復康中心
鴻圖道78號地下禮賓部,鴻圖道   78號,,22.3084,114.2239,鴻圖道78號
偉業街223-231號宏利金融中心地下禮賓部,九龍觀塘偉業街223-231號宏利金融中心1樓14號舖,,22.3079,114.2234,7-11便利店-宏利金融中心
翠屏道6號觀塘遊樂場7人人造草足球場簽到處,九龍觀塘月華街遊樂場,觀塘,22.3154,114.2265,月華街遊樂場
鯉魚門道30號藍田救護站正門入口外,鯉魚門道   30號,油塘,22.3035,114.236,藍田救護站
茜發道100號茜發道網球場入口,茜發道   100號,油塘,22.304,114.2344,茜發道網球場辦事處
茜發道90號晒草灣遊樂場接待處,九龍九龍塘牛津道2A號地下(遊戲場 幼稚園辦公室／接待處 遊戲／音樂室)1樓(課室101-109 茶房 女洗手間男洗手間 走廊),,22.329,114.1812,啓思小學附屬幼稚園
藍田碧雲道170號藍田（南）體育館辦事處,九龍藍田碧雲道170號,藍田,22.304,114.239,藍田(南)體育館
藍田廣田邨保良局蕭明紀念護老院,九龍藍田廣田邨廣軒樓及廣雅樓地下及1字樓,藍田,22.3033,114.2399,保良局蕭明紀念護老院
藍田站大堂（近客服中心）,九龍藍田香港鐵路藍田站,藍田,22.3071,114.2318,港鐵藍田站-D1進出口
藍田站2號月台（近第四卡）,安域道   2號,九龍塘,22.3428,114.1781,映月臺
油塘道9號油麗商場地下樓層客戶服務台,九龍油塘油塘道9號油麗商場地下一號鋪,油塘,22.2984,114.2372,百佳超級市場-油麗商場
油塘站3號月台近第三卡,香港大潭大潭水塘道88號陽明山莊第三層,,22.258,114.1992,卡啦OK酒廊
油塘站大堂近客服中心,九龍油塘香港鐵路油塘站,油塘,22.298,114.237,港鐵油塘站
油塘消防局正門入口外,鴨脷洲消防局,鴨脷洲,22.2433,114.1522,鴨脷洲消防局
藍田公園公園辦事處,地政總署清拆（一）辦事處（港島分處）,跑馬地,22.2717,114.189,地政總署清拆(-)辦事處(港島分處)
油塘高超道38號大本型地下樓層客服中心服務台,九龍油塘高超道38號大本型地下低層一樓電梯大堂,油塘,22.2962,114.2388,大本型智郵站
油塘鯉魚門廣場1樓123-124舖惠康近收銀位置,九龍油塘鯉魚門廣場2樓212A號舖,油塘,22.2971,114.2392,7-11便利店-鯉魚門廣場
藍田消防局正門入口外,鴨脷洲消防局,鴨脷洲,22.2433,114.1522,鴨脷洲消防局
油塘茶果嶺道三家村遊樂場公園辦事處,觀塘 茶果嶺道,鯉魚門,22.3097,114.2284,茶果嶺道 (KX 2956)(室外)
香港皇后大道西470號石塘咀體育館近6樓入口處,青衣西南體育館,青衣,22.3515,114.1021,青衣西南體育館
油塘高超道32號金門地盤B閘華榮路入口,九龍油塘高超道高怡邨高遠樓地下一號,油塘,22.2973,114.242,高超道仁愛敬老中心
鯉魚門徑6號鯉魚門市政大廈二樓體育館大堂,九龍油塘鯉魚門徑6號鯉魚門市政大廈,油塘,22.2919,114.2388,鯉魚門市政大廈(體育館)
觀塘秀茂坪購物商場1樓102舖惠康近收銀位置,觀塘秀茂坪村秀茂坪購物商場1樓102 舖,秀茂坪,22.319,114.2324,惠康超級廣場-秀茂坪廣場
新界大埔安邦路8及10號大埔超級城C區,新界大埔安邦路8及10號,大埔,22.4527,114.171,大埔超級城C區
九龍藍田啟田道 99 號藍田分科診所 2 樓藍田學童牙科診所,九龍藍田啟田道99號藍田分科診所2字樓,藍田,22.3106,114.2333,藍田學童牙科診所
九龍灣健康中心普通門診診所,粉嶺壁峰路2號粉嶺健康中心3樓,粉嶺,22.4966,114.1388,粉嶺健康中心牙科診所
牛頭角公共圖書館,牛頭角道   183號,牛頭角,22.3211,114.2162,牛頭角公共圖書館
港鐵總部大樓,偉業街   33號,九龍灣,22.321,114.2135,港鐵總部大樓
牛頭角定安街60號牛頭角賽馬會診所,九龍牛頭角定安街60號牛頭角賽馬會診所4樓,,22.3171,114.217,基督教家庭服務中心 - 香港中文大學中醫診所暨教研中心(觀塘區)
佐敦谷游泳池,九龍牛頭角佐敦谷游泳池,牛頭角,22.3234,114.2179,佐敦谷游泳池停車場(室外)
彩雲商場第二期2樓A206號舖 香港賽馬會場外投注處,九龍牛池灣彩雲(一)邨彩雲商場二期UG層A116號舖,牛池灣,22.3329,114.2147,7-11便利店-彩雲商場2期
牛池灣文娛中心,牛池灣市政大廈,牛池灣,22.3345,114.2089,牛池灣文娛中心
藍田長者健康中心,九龍藍田碧雲道223號藍田社區綜合大樓地下,藍田,22.3085,114.2395,藍田長者健康中心
